%time,field.header.seq,field.header.stamp,field.header.frame_id,field.armed,field.failsafe,field.rc_override,field.offboard,field.control_mode,field.error_code,field.num_errors,field.loop_time_us
1564692304737793752,225,1564692304737222031,,0,0,1,0,2,4,28168,31
1564692304838054433,226,1564692304837075413,,0,0,1,0,2,4,28172,62
1564692304938678748,227,1564692304937087340,,0,0,1,0,2,4,28176,31
1564692305037921284,228,1564692305037035807,,0,0,1,0,2,4,28180,94
1564692305138735269,229,1564692305137067360,,0,0,1,0,2,4,28184,94
1564692305240113349,230,1564692305239187038,,0,0,1,0,2,4,28188,31
1564692305339612723,231,1564692305339052087,,0,0,1,0,2,4,28192,94
1564692305442050700,232,1564692305439298602,,0,0,1,0,2,4,28196,187
1564692305540167088,233,1564692305538909437,,0,0,1,0,2,4,28198,344
1564692305640141472,234,1564692305639074242,,0,0,1,0,2,4,28202,31
1564692305741627221,235,1564692305741061251,,0,0,1,0,2,4,28208,32
1564692305842048656,236,1564692305841170555,,0,0,1,0,2,4,28212,31
1564692305942528592,237,1564692305941200899,,0,0,1,0,2,4,28216,125
1564692306042443767,238,1564692306041085031,,0,0,1,0,2,4,28220,93
1564692306142341692,239,1564692306140927413,,0,0,1,0,2,4,28224,31
1564692306244085446,240,1564692306242922922,,0,0,1,0,2,4,28228,187
1564692306343775908,241,1564692306343084602,,0,0,1,0,2,4,28232,63
1564692306443966588,242,1564692306443082528,,0,0,1,0,2,4,28236,31
1564692306544039225,243,1564692306542938660,,0,0,1,0,2,4,28240,125
1564692306644408492,244,1564692306643091048,,0,0,1,0,2,4,28244,94
1564692306744498170,245,1564692306743112684,,0,0,1,0,2,4,28248,32
1564692306846064587,246,1564692306845083692,,0,0,1,0,2,4,28252,250
1564692306946027805,247,1564692306945066494,,0,0,1,0,2,4,28256,63
1564692307045402260,248,1564692307045075629,,0,0,1,0,2,4,28260,31
1564692307146654504,249,1564692307145087014,,0,0,1,0,2,4,28264,63
1564692307246376175,250,1564692307245069023,,0,0,1,0,2,4,28268,32
1564692307348713983,251,1564692307347121200,,0,0,1,0,2,4,28272,31
1564692307449222212,252,1564692307447130127,,0,0,1,0,2,4,28276,31
1564692307547768192,253,1564692307547233514,,0,0,1,0,2,4,28280,31
1564692307648210252,254,1564692307647083063,,0,0,1,0,2,4,28284,281
1564692307748692314,255,1564692307747068364,,0,0,1,0,2,4,28290,94
1564692307849911265,256,1564692307848876536,,0,0,1,0,2,4,28294,31
1564692307950140655,257,1564692307949102384,,0,0,1,0,2,4,28298,31
1564692308049750657,258,1564692308049105185,,0,0,1,0,2,4,28300,125
1564692308151104486,259,1564692308149059694,,0,0,1,0,2,4,28304,32
1564692308250426524,260,1564692308249075163,,0,0,1,0,2,4,28308,94
1564692308351902647,261,1564692308348974421,,0,0,1,0,2,4,28312,125
1564692308453020389,262,1564692308451305103,,0,0,1,0,2,4,28316,187
1564692308552504763,263,1564692308551253029,,0,0,1,0,2,4,28320,31
